JAPAN,300,It's said a Baptist minister living in Yokohama invented this popular vehicle in 1869; it was quickly copied:,rickshaw
MONEY,800,Some banks now have ALMs to let you get one of these for a car 24 hours a day,loan
ZOOLOGY,200,"The affenpinscher is grouped as one of these small ""plaything"" dogs",toy
HISTORY,400,World power whose emperor gave up claims to divinity before it adopted a new constitution in 1947,Japan
SCIENCE & NATURE,200,In a leaf this food-making process takes place in the palisade & spongy cells,photosynthesis
THEY USED TO BE IN CHARGE,800,Ferdinand Marcos,Philippines
ANNUAL EVENTS,500,Countries that celebrate these documents include Mexico on February 5 & the U.S. on September 17,Constitutions
ANIMALS,400,It's the only living mammal in the order Proboseidea,Elephant
4-LETTER WORDS,600,Type of chart seen here,Flow
HISTORY,300,4 treaties to mitigate the horrors of war were signed in this city in August 1949,Geneva
STATE FACTS,600,It contains the easternmost point in the continental U.S.: West Quoddy Head,Maine
IN THE DICTIONARY,600,The 2-letter term for a medical prescription; it also means a remedy or cure,Rx
THEY USED TO BE IN CHARGE,600,Olof Palme was its Prime Minister 1982-1986,Sweden
HISTORY,300,Peter the Cruel & Joan the Mad ruled this Spanish kingdom sometimes paired with Leon & Aragon,Castille
U.S. CITIES,400,In late June to early July you can attend Civil War Heritage Days in this Pennsylvania town,Gettysburg
COUNTRIES OF THE WORLD,300,"This country was once part of the Roman Empire & its name means ""Land of the Romans""",Romania
JAPAN,200,You can reach the summit of this mountain via the Gotemba or Subashiri paths,Fujiyama
MUSEUMS,200,This institution's vast collection includes the Spirit of St. Louis & Archie Bunker's chair,Smithsonian
JAPAN,300,The Sentoraru Riigu is one of two associations of teams in this sport,Baseball
THE ENVIRONMENT,100,Deciduous trees spend this season in a state of dormancy,winter
DESIGN,200,Cellini made a magnificent saltcellar out of enamel & this precious metal for King Francis I,gold
LEFTOVERS,300,"This Asian nation whose name ends in ""rain"" only gets 3 inches of rain a year",Bahrain
DESIGN,800,This Russian goldsmith designed cigarette boxes & carved animals in addition to jeweled eggs,Faberge
ORGANIZATIONS,200,"A California board maintained by producers of these dried plums has ""regular"" meetings",prunes
THE 50 STATES,800,A city is named for the great falls of the Missouri River in this state,Montana
