Cats,300,Tabbies have these,stripes
Cats,100,Cats hate this,water
Cats,400,Tiger + Lion =,liger
Cats,200,This killed the cat,curiosity
Dinos,100,Famous carnivore,t-rex
Dinos,200,They have three horns,triceratops
Dinos,400,Turns out dinosaurs were covered in these,feathers
Dinos,500,My existence has been debated but I have very long neck,brontosaurus
Math,100,2 + 2 =,4
Math,200,You wish you could eat this numerical constant,pi
Math,400,It measures round and round and round,circumference
Math,200,Square me to get 100,10
