"""A"" PLUS",400,Iran & Pakistan both border this nation,Afghanistan
"""A"" PLUS",400,A small sum of money given regularly by a parent to a child,allowance
"""A"" PLUS",300,Hound variety seen here:,Afghan
"""A"" PLUS",500,It means designed to reduce air resistance,Aerodynamic
"""A"" PLUS",400,It's what Lauren Bacall heard when she took her bow after the musical of the same name,Applause
"""A"" PLUS",800,A type of marbles or agricultural college students who might have played with them,Aggies
"""A"" PLUS",400,An EMT rides in one of these vehicles,ambulance
"""A"" PLUS",800,Biceps banner often worn as a memorial,armband
"""A"" PLUS",400,"The name of this third male human to be mentioned in Genesis means ""breath"" in Hebrew",Abel
"""A"" PLUS",800,"The first band with a palindromic name to be listed in the Rolling Stone ""Encyclopedia of Rock & Roll""",ABBA
"""A"" PLUS",200,Ancient calculator seen here,Abacus
"""A"" PLUS",500,It's what Borgs do; it makes you one of them,Assimilate
"""B"" PREPARED",200,A non-rigid flexible dirigible,blimp
"""B"" PREPARED",400,"""I'll Go Home With Bonnie Jean"" is one of many lively songs in this Lerner & Loewe musical",Brigadoon
"""B"" PREPARED",400,Ammunition pellets like gold dot or hot-cor,bullets
"""B"" PREPARED",200,Wang Qishan is the mayor of this Asian city,Beijing
"""B"" PREPARED",800,He's the composer whose work is heard here,Beethoven
"""B"" PREPARED",200,Drink up!  This nation leads the world in coffee growing,Brazil
"""B"" PREPARED",400,Sodium penthothal is in this class of drugs that have sedative & hypnotic properties,barbiturates
"""B"" PREPARED",200,It can be an area of a baseball stadium or people who use hydrogen peroxide on their heads,bleachers
"""B"" PREPARED",600,"Between-meals meal; can ""linner"" be far behind?",brunch
"""B"" PREPARED",800,"This ""colorful"" variety of country music is played on unamplified stringed instruments",bluegrass
"""C"" FOOD",400,Cajun popcorn is made from the tails of these crustaceans,crayfish
"""C"" FOOD",800,It's the name for the medium-size clams that come between littleneck & chowder clams,cherrystone
"""C"" FOOD",200,"Some refer to this spicy dish as a ""bowl o' red""",chili
"""C"" FOOD",400,"In English trifle the ""soft"" type of this puddinglike dessert is mixed with fruit & spongecake",custard
"""C"" FOOD",600,Head south of the border or to any good Mexican restaurant for one of these deep-fried burritos,chimichangas
"""C"" FOOD",200,(Sofia of the Clue Crew in Spain)  The first thing little Pablo Picasso drew was one of these sugary treats eaten for breakfast in Spain,churros
"""C"" FOOD",400,Salad dish that's a side at KFC,coleslaw
"""C"" FOOD",600,It's the French fromage in the foreground,Camembert
"""C"" FOOD",800,It's a clarified meat or fish broth; flavor it with tomato juice & it becomes Madrilene,consomme
"""C"" FOOD",200,"A 1972 song said ""put the lime in"" this & ""drink them both up""",coconut
"""C"" FOOD",400,The shell of this kidney-shaped nut is highly toxic,cashew
"""C"" FOOD",800,This cinnamon-coated treat is sort of a Mexican cruller,churro
"""C"" FOOD",400,If you crave Craisins you know that they're sweetened & dried these,cranberries
"""G"" WHIZ!",200,It's the liquor you might drink while playing the card game of the same name,gin
"""G"" WHIZ!",400,"The Sanskrit word for ""venerable"" gave us this term for a spiritual guide",guru
"""G"" WHIZ!",200,A male goose you might take a look at,gander
"""G"" WHIZ!",400,It's the liquor you might drink while playing the card game of the same name,gin
"""G"" WHIZ!",600,Maharishi Mahesh Yogi gained fame as one of these Indian teachers,guru
"""G"" WHIZ!",100,It's a wine glass with a base & a stem,Goblet
"""G"" WHIZ!",300,During WWII this island was the site of the first major Allied offensive in the Pacific,Guadalcanal
"""G"" WHIZ!",100,A male goose you might take a look at,Gander
"""G"" WHIZ!",200,The only one of Snow White's dwarfs who fits the category,Grumpy
"""G"" WHIZ!",400,A piece of sand or of common sense,Grain
"""G"" WHIZ!",300,The perfect plaid for singer Campbell,Glen
"""G""EOGRAPHY",600,Hagatna is the capital of this U.S. island in the North Pacific,Guam
"""G""EOGRAPHY",800,A country on the west coast of Africa used to be known as Spanish this; now it's Equatorial this,Guinea
"""G""EOGRAPHY",400,This U.S. territory is home to the War in the Pacific National Historical Park,Guam
"""G""EOGRAPHY",100,"This rocky British crown colony is known as ""Gib"" for short",Gibraltar
"""G""EOGRAPHY",300,You'll find the Kelvingrove Art Galleries & Museum in this Scottish city,Glasgow
"""G""EOGRAPHY",500,Most of the Indians in this Central American country speak one of the Maya languages,Guatemala
"""G""EOGRAPHY",400,"It precedes ""Forks"" in a North Dakota city name & ""Junction"" in a Colorado city name",Grand
